2019-11-17T06:31:26.000Z,b'Protesters destroyed central Bank\n\n#bitcoin https://t.co/rNHxbUC6MS',Protesters destroyed central Bank n n itcoin
2019-11-17T06:39:21.000Z,"b'2019/11/17 15:39:20\\r[ bitFlyer ] \\r\\xe3\\x83\\x93\\xe3\\x83\\x83\\xe3\\x83\\x88\\xe3\\x82\\xb3\\xe3\\x82\\xa4\\xe3\\x83\\xb3[BTC/JPY]\\xef\\xbc\\x9a922,500\\xe5\\x86\\x86\\r\\xe3\\x82\\xa4\\xe3\\x83\\xbc\\xe3\\x82\\xb5\\xe3\\x83\\xaa\\xe3\\x82\\xa2\\xe3\\x83\\xa0[ETH/JPY]\\xef\\xbc\\x9a19,760\\xe5\\x86\\x86\\r\\r[ Zaif ] \\r\\xe3\\x83\\x8d\\xe3\\x83\\xa0[XEM/JPY]\\xef\\xbc\\x9a\\xe3\\x80\\x80\\xe3\\x80\\x804.5678\\xe5\\x86\\x86\\xe2\\x80\\xa6 https://t.co/R61RNeJmh8'",2019 11 17 15 39 20 r itFlyer r xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 BTC JPY xef xc x9a922 500 xe5 x86 x86 r xe3 x82 xa4 xe3 x83 xc xe3 x82 x5 xe3 x83 xaa xe3 x82 xa2 xe3 x83 xa0 ETH JPY xef xc x9a19 760 xe5 x86 x86 r r Zaif r xe3 x83 x8d xe3 x83 xa0 XEM JPY xef xc x9a xe3 x80 x80 xe3 x80 x804 5678 xe5 x86 x86 xe2 x80 xa6
2019-11-17T06:39:28.000Z,b'\xe2\x80\x9cPATIENCE YOU MUST HAVE my young padawan\xe2\x80\x9d. \n#bitcoin going to the Moon #CryptoNews https://t.co/u5XP07tNFq',xe2 x80 x9cPATIENCE YOU MUST HAVE my young padawan xe2 x80 x9d n itcoin going to the Moon CryptoNews
2019-11-17T06:39:33.000Z,b'#17Nov 01:39\nPrecio del #Bitcoin: 8544.45 USD\n#BTC $BTC https://t.co/z49M1MFKll',17Nov 01 39 nPrecio del Bitcoin 8544 45 USD n BTC BTC
2019-11-17T06:39:48.000Z,b'#ff #followfriday #followback #giveaway #contest #win #competition #crypto #ico #bitcoin #funny #photography #pets\xe2\x80\xa6 https://t.co/JIPmz21S0a',ff followfriday followack giveaway contest win competition crypto ico itcoin funny photography pets xe2 x80 xa6
2019-11-17T06:40:01.000Z,b'MercadoBitcoin(BTC) =&gt; R$36300 | BlockChain(BTC) =&gt; R$35570 | MercadoBitcoin(LTC) =&gt; R$249 #bitcoin #litecoin',MercadoBitcoin BTC gt R 36300 BlockChain BTC gt R 35570 MercadoBitcoin LTC gt R 249 itcoin litecoin
2019-11-17T06:40:02.000Z,b'@RanesesEditha @Cryptocoincard @cryptogemini05 @ijab2004dr @maddiedearo Receive 500 AMPX for early signup. 100 AMPX\xe2\x80\xa6 https://t.co/NaMNxNVldX',Receive 500 AMPX for early signup 100 AMPX xe2 x80 xa6
2019-11-17T06:40:06.000Z,b'#ff #followfriday #followback #giveaway #contest #win #competition #crypto #ico #bitcoin #funny #photography #pets\xe2\x80\xa6 https://t.co/55HVhzkdxW',ff followfriday followack giveaway contest win competition crypto ico itcoin funny photography pets xe2 x80 xa6
2019-11-17T06:40:18.000Z,b'#ff #followfriday #followback #giveaway #contest #win #competition #crypto #ico #bitcoin #funny #photography #pets\xe2\x80\xa6 https://t.co/uq0yO4QM41',ff followfriday followack giveaway contest win competition crypto ico itcoin funny photography pets xe2 x80 xa6
2019-11-17T06:40:28.000Z,b'Let\xe2\x80\x99s do some mining \xe2\x9b\x8f @WINkorg $WIN $TRX #TRX @justinsuntron @binance $BTT @BitTorrent #BTT $EOS @WSOP #TRON\xe2\x80\xa6 https://t.co/HMUImwgJb9',Let xe2 x80 x99s do some mining xe2 x9 x8f WIN TRX TRX BTT BTT EOS TRON xe2 x80 xa6
2019-11-17T06:40:35.000Z,b'#ff #followfriday #followback #giveaway #contest #win #competition #crypto #ico #bitcoin #funny #photography #pets\xe2\x80\xa6 https://t.co/OeJC9SwDFs',ff followfriday followack giveaway contest win competition crypto ico itcoin funny photography pets xe2 x80 xa6
2019-11-17T06:40:45.000Z,b'#crypto mkt cap last hour\n\n\xf0\x9f\x9a\x80\n$BTC +12.472m\n$NEO +4.599m\n$VET +4.243m\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$CRO -5.139m\n$XLM -4.991m\n$XRP -4.946m\n\n#bitcoin #cryptocurrency',crypto mkt cap last hour n n xf0 x9f x9a x80 n BTC 12 472m n NEO 4 599m n VET 4 243m n n xf0 x9f x8c xa7 xef x8 x8f n CRO 5 139m n XLM 4 991m n XRP 4 946m n n itcoin cryptocurrency
2019-11-17T06:40:47.000Z,b'#ff #followfriday #followback #giveaway #contest #win #competition #crypto #ico #bitcoin #funny #photography #pets\xe2\x80\xa6 https://t.co/thIhAnYO4c',ff followfriday followack giveaway contest win competition crypto ico itcoin funny photography pets xe2 x80 xa6
2019-11-17T06:40:47.000Z,b'RSI triangle should be broken. \n$BTC $BTCUSD #bitcoin https://t.co/O7D9PdZiSc',RSI triangle should e roken n BTC BTCUSD itcoin
