2019-11-17T14:05:37.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T14:09:46.000Z,b'El testnet de Libra registra 51.000 transacciones de la noche a la ma\xc3\xb1ana\n\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xe2\xac\x87\xe2\xac\x87\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\nhttps://t.co/pjimAPl0Je\n\n#bitcoin\xe2\x80\xa6 https://t.co/mJGl8IdFLu',El testnet de Lira registra 51 000 transacciones de la noche a la ma xc3 x1ana n xf0 x9f x94 xa5 xf0 x9f x94 xa5 xe2 xac x87 xe2 xac x87 xf0 x9f x94 xa5 xf0 x9f x94 xa5 nhttps
2019-11-17T14:09:47.000Z,b'\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3\xe3\x82\x92\xe4\xbd\xbf\xe3\x81\xa3\xe3\x81\x9f\xe9\x81\x8b\xe7\x94\xa8\xe3\x81\xa7\xe3\x81\x99\xe3\x80\x82\n\xe4\xbb\x8a\xe3\x81\x97\xe3\x81\x8b\xe3\x81\xa7\xe3\x81\x8d\xe3\x81\xaa\xe3\x81\x84\xe3\x81\x8b\xe3\x82\x82\xe7\x9f\xa5\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x9b\xe3\x82\x93\xe3\x80\x82\xe6\x97\xa5\xe5\x88\xa93%\xef\xbd\x9e\xe3\x81\xae\xe4\xb8\xbb\xe3\x81\xabHYIP\xe3\x80\x82\n\xe3\x82\xa2\xe3\x83\x95\xe3\x82\xa7\xe3\x83\xaa\xe3\x81\xa8\xe3\x81\x8b\xe8\xa9\x90\xe6\xac\xba\xe3\x81\xbe\xe3\x81\x8c\xe3\x81\x84\xe3\x81\xae\xe3\x83\x8d\xe3\x83\x83\xe3\x83\x88\xe3\x83\xaf\xe3\x83\xbc\xe3\x82\xaf\xe3\x81\xa7\xe3\x82\x82\xe3\x81\xaa\xe3\x81\x84\xe3\x81\xa7\xe3\x81\x99\xe3\x80\x82\n\xe4\xbd\x99\xe8\xa3\x95\xe8\xb3\x87\xe9\x87\x91\xe3\x81\xa7\xe3\x81\x8a\xe9\xa1\x98\xe3\x81\x84\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe3\x82\x82\xe3\x81\xa1\xe3\x82\x8d\xe3\x82\x93\xe8\x87\xaa\xe5\xb7\xb1\xe8\xb2\xac\xe4\xbb\xbb\xe3\x81\xa7\xe3\x81\x99\xe3\x80\x82\n#\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #bitcoin #\xe7\xa8\xbc\xe3\x81\x90 #\xe5\x89\xaf\xe6\xa5\xad #\xe5\x84\xb2\xe3\x81\x91\xe3\x82\x8b',xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe3 x82 x92 xe4 xd xf xe3 x81 xa3 xe3 x81 x9f xe9 x81 x8 xe7 x94 xa8 xe3 x81 xa7 xe3 x81 x99 xe3 x80 x82 n xe4 x x8a xe3 x81 x97 xe3 x81 x8 xe3 x81 xa7 xe3 x81 x8d xe3 x81 xaa xe3 x81 x84 xe3 x81 x8 xe3 x82 x82 xe7 x9f xa5 xe3 x82 x8c xe3 x81 xe xe3 x81 x9 xe3 x82 x93 xe3 x80 x82 xe6 x97 xa5 xe5 x88 xa93 xef xd x9e xe3 x81 xae xe4 x8 x xe3 x81 xaHYIP xe3 x80 x82 n xe3 x82 xa2 xe3 x83 x95 xe3 x82 xa7 xe3 x83 xaa xe3 x81 xa8 xe3 x81 x8 xe8 xa9 x90 xe6 xac xa xe3 x81 xe xe3 x81 x8c xe3 x81 x84 xe3 x81 xae xe3 x83 x8d xe3 x83 x83 xe3 x83 x88 xe3 x83 xaf xe3 x83 xc xe3 x82 xaf xe3 x81 xa7 xe3 x82 x82 xe3 x81 xaa xe3 x81 x84 xe3 x81 xa7 xe3 x81 x99 xe3 x80 x82 n xe4 xd x99 xe8 xa3 x95 xe8 x3 x87 xe9 x87 x91 xe3 x81 xa7 xe3 x81 x8a xe9 xa1 x98 xe3 x81 x84 xe3 x81 x97 xe3 x81 xe xe3 x81 x99 xe3 x80 x82 xe3 x82 x82 xe3 x81 xa1 xe3 x82 x8d xe3 x82 x93 xe8 x87 xaa xe5 x7 x1 xe8 x2 xac xe4 x x xe3 x81 xa7 xe3 x81 x99 xe3 x80 x82 n xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 itcoin xe7 xa8 xc xe3 x81 x90 xe5 x89 xaf xe6 xa5 xad xe5 x84 x2 xe3 x81 x91 xe3 x82 x8
2019-11-17T14:09:48.000Z,b'Types of Online Slot Tournaments To help give you a much better understanding of all of the currently available typ\xe2\x80\xa6 https://t.co/tyGDa7l0aE',Types of Online Slot Tournaments To help give you a much etter understanding of all of the currently availale typ xe2 x80 xa6
2019-11-17T14:09:58.000Z,b'Discover The Service That Gives You 100% Done For You Trading Strategies - Click Here For A Trial\xe2\x80\xa6 https://t.co/dO5S3IISZE',Discover The Service That Gives You 100 Done For You Trading Strategies Click Here For A Trial xe2 x80 xa6
2019-11-17T14:10:01.000Z,b'Criminal Case Against Failed WEX Crypto Exchange Points at Russian Law Enforcement \xf0\x9f\x91\x89 #CoinDesk #CryptocoinFactory\xe2\x80\xa6 https://t.co/OOwyZrWFQe',Criminal Case Against Failed WEX Crypto Exchange Points at Russian Law Enforcement xf0 x9f x91 x89 CoinDesk CryptocoinFactory xe2 x80 xa6
2019-11-17T14:10:03.000Z,b'#Opini\xc3\xb3n Los adultos mayores son m\xc3\xa1s propensos a encontrarse en una situaci\xc3\xb3n de vulnerabilidad econ\xc3\xb3mica \xc2\xbfSabes c\xc3\xb3\xe2\x80\xa6 https://t.co/HW9vHiUxxT',Opini xc3 x3n Los adultos mayores son m xc3 xa1s propensos a encontrarse en una situaci xc3 x3n de vulnerailidad econ xc3 x3mica xc2 xfSaes c xc3 x3 xe2 x80 xa6
2019-11-17T14:10:03.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 17:10:02\\n#Bitcoin: $8,590.945\\n#Ethereum: $184.956\\n#XRP: $0.266\\xe2\\x80\\xa6 https://t.co/w9Z6WK8fZj'",Top 5 cryptocurrencies n Alert Time 2019 11 17 17 10 02 n Bitcoin 8 590 945 n Ethereum 184 956 n XRP 0 266 xe2 x80 xa6
2019-11-17T14:10:03.000Z,"b'$LINK All Targets hit! 18% profit \\xf0\\x9f\\x94\\xa5\\n\\nFor Free signals,Join; https://t.co/WyoI6Jnzdh\\n   \\n$BTC $ETH $XRP $LINK $LTC\\xe2\\x80\\xa6 https://t.co/HBJGE98XzI'",LINK All Targets hit 18 profit xf0 x9f x94 xa5 n nFor Free signals Join n BTC ETH XRP LINK LTC xe2 x80 xa6
2019-11-17T14:10:03.000Z,"b'As of November 16, 2019 at 08:10AM, 1 XRP = 0.2616 USD. \\xf0\\x9f\\x98\\x84 https://t.co/ksCOqyBwFU \\xf0\\x9f\\x98\\x8b #Investing #fire #ira #401k\\xe2\\x80\\xa6 https://t.co/zOc0aNiHho'",As of Novemer 16 2019 at 08 10AM 1 XRP 0 2616 USD xf0 x9f x98 x84 xf0 x9f x98 x8 Investing fire ira 401k xe2 x80 xa6
2019-11-17T14:10:04.000Z,b'#Colombia is slowly moving toward Bitcoin-friendly regulations.\n\n#bitcoin #btc',Colomia is slowly moving toward Bitcoin friendly regulations n n itcoin tc
2019-11-17T14:10:05.000Z,"b'Bitcoin BTC Current Price:\\n$8,591.06\\n1 Hour: -0.22 % | 24 Hours: 0.52 % | 7 Days: -3.69 %\\n#btc #bitcoin'",Bitcoin BTC Current Price n 8 591 06 n1 Hour 0 22 24 Hours 0 52 7 Days 3 69 n tc itcoin
2019-11-17T14:10:29.000Z,b'Free 300 GH Cloud Mining at Gominer Instant Witdraw https://t.co/ByPcsMUqss #gominer #hashflare #genesismining #bitcoin',Free 300 GH Cloud Mining at Gominer Instant Witdraw gominer hashflare genesismining itcoin
2019-11-17T14:10:31.000Z,b'@Econometrica @descifradocom \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f \xf0\x9f\x99\x85\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f #Bitcoin Help me',xf0 x9f xa4 xa6 xf0 x9f x8f x xe2 x80 x8d xe2 x99 x82 xef x8 x8f xf0 x9f x99 x85 xf0 x9f x8f x xe2 x80 x8d xe2 x99 x82 xef x8 x8f Bitcoin Help me
2019-11-17T14:10:33.000Z,b'#Opini\xc3\xb3n Los adultos mayores son m\xc3\xa1s propensos a encontrarse en una situaci\xc3\xb3n de vulnerabilidad econ\xc3\xb3mica \xc2\xbfSabes c\xc3\xb3\xe2\x80\xa6 https://t.co/PHRA8l1Q4W',Opini xc3 x3n Los adultos mayores son m xc3 xa1s propensos a encontrarse en una situaci xc3 x3n de vulnerailidad econ xc3 x3mica xc2 xfSaes c xc3 x3 xe2 x80 xa6
2019-11-17T14:10:37.000Z,"\"b\"\"Today's kids value Fortnite V-bucks more than the US Dollar. Wait til the grow up and learn up about #Bitcoin\"\"\"",Today s kids value Fortnite V ucks more than the US Dollar Wait til the grow up and learn up aout Bitcoin
2019-11-17T14:10:47.000Z,b'1 BTC Price: Bitstamp 8517.00 USD Coinbase  USD #btc #bitcoin 2019-11-17 09:10 https://t.co/Fiojkwj7yX',1 BTC Price Bitstamp 8517 00 USD Coinase USD tc itcoin 2019 11 17 09 10
2019-11-17T14:10:58.000Z,b'What is the future of #Bitcoin?\nhttps://t.co/4JvsXMoFFU',What is the future of Bitcoin
2019-11-17T14:11:00.000Z,"b'\\xf0\\x9f\\xa4\\x91\\xc2\\xa1El #Bitcoin sube! Manten seguras tus criptomonedas, nada mejor que un monedero f\\xc3\\xadsico anti-hackeo. Adquiere ahora\\xe2\\x80\\xa6 https://t.co/HKPWFArjAb'",xf0 x9f xa4 x91 xc2 xa1El Bitcoin sue Manten seguras tus criptomonedas nada mejor que un monedero f xc3 xadsico anti hackeo Adquiere ahora xe2 x80 xa6
2019-11-17T14:11:22.000Z,b'How to get 1 whole #bitcoin for only 200$ finally #Revealed  https://t.co/Ni8eV2bQUG',How to get 1 whole itcoin for only 200 finally Revealed
2019-11-17T14:11:23.000Z,b'#bitcoin #forex #money #love #investment #loyalty #realestate #life #pakistan #bitcoinmining #worldseries  #trust\xe2\x80\xa6 https://t.co/iJ1BOPF8nO',itcoin forex money love investment loyalty realestate life pakistan itcoinmining worldseries trust xe2 x80 xa6
2019-11-17T14:11:27.000Z,b'ProtonMail Reveals It\xe2\x80\x99s Been \xe2\x80\x98HODLing\xe2\x80\x99 Its Bitcoin Payments for Years https://t.co/3BmKATSUiy  #XBT #BTC #Bitcoin',ProtonMail Reveals It xe2 x80 x99s Been xe2 x80 x98HODLing xe2 x80 x99 Its Bitcoin Payments for Years XBT BTC Bitcoin
2019-11-17T14:11:30.000Z,b'Instead of asking what #Bitcoin price will be in January 2020. Try thinking of how different the world will be in 2\xe2\x80\xa6 https://t.co/SDLBja31ty',Instead of asking what Bitcoin price will e in January 2020 Try thinking of how different the world will e in 2 xe2 x80 xa6
2019-11-17T14:11:36.000Z,b'#bitcoin #forex #money #love #investment #loyalty #realestate #life #pakistan #bitcoinmining #worldseries  #trust\xe2\x80\xa6 https://t.co/YIzVcaw1ZA',itcoin forex money love investment loyalty realestate life pakistan itcoinmining worldseries trust xe2 x80 xa6
2019-11-17T14:12:10.000Z,b'@Cointelegraph Next stop the moon \xf0\x9f\x9a\x80\n\nThe Bubble has bursts and they will notify the public 6 months into the recess\xe2\x80\xa6 https://t.co/7lhgIsZjhV',Next stop the moon xf0 x9f x9a x80 n nThe Bule has ursts and they will notify the pulic 6 months into the recess xe2 x80 xa6
