2019-11-17T20:01:42.000Z,b'\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80 \xf0\x9f\x9a\x80   \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80  \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\n\xf0\x9f\x9a\x80          \xf0\x9f\x9a\x80              \xf0\x9f\x9a\x80          \xf0\x9f\x9a\x80\n\xf0\x9f\x9a\x80    \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80               \xf0\x9f\x9a\x80         \xf0\x9f\x9a\x80\n\xf0\x9f\x9a\x80          \xf0\x9f\x9a\x80\xe2\x80\xa6 https://t.co/GZTcd8AkhF',xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 n xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 n xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 n xf0 x9f x9a x80 xf0 x9f x9a x80 xe2 x80 xa6
2019-11-17T20:02:00.000Z,b'Grande Vegas Casino - New $150 Free Chip Friday Promo Code for Depositors or 50 Free Spins Signup Bonus\xe2\x80\xa6 https://t.co/PwlH5Du37g',Grande Vegas Casino New 150 Free Chip Friday Promo Code for Depositors or 50 Free Spins Signup Bonus xe2 x80 xa6
2019-11-17T20:02:01.000Z,b'#EZT #blockchain #ethereum #bitcoin #ieo #tokensale #cryptocurrency #ezystayz\n\nWebsite: https://t.co/6QQs6pmxqi https://t.co/iDDTaS7lSP',EZT lockchain ethereum itcoin ieo tokensale cryptocurrency ezystayz n nWesite
2019-11-17T20:02:02.000Z,b'Bitback! Ganhe Bitcoin comprando em lojas. https://t.co/VPFxZHd6yO #bitback #bitcoin #cashback via @bitback',Bitack Ganhe Bitcoin comprando em lojas itack itcoin cashack via
2019-11-17T20:02:02.000Z,"b'#bitcoin still looks #bearish despite #climb to #$8,600, #claims #analyst \\n#instabtc #instaico #instavenezuela\\xe2\\x80\\xa6 https://t.co/hBP13pIynu'",itcoin still looks earish despite clim to 8 600 claims analyst n instatc instaico instavenezuela xe2 x80 xa6
2019-11-17T20:02:04.000Z,b'Hotels: Occupancy Rate Increased Slightly Year-over-year #Bitcoin #Btc #Cryptocurrency #finance #forex #markets #fx\xe2\x80\xa6 https://t.co/WRkUIlHKZM',Hotels Occupancy Rate Increased Slightly Year over year Bitcoin Btc Cryptocurrency finance forex markets fx xe2 x80 xa6
2019-11-17T20:02:05.000Z,b'NEO Founder Explains Why the Internet Is Imperfect https://t.co/gclhN1sPLH #startup #bitcoin #media #Overledger\xe2\x80\xa6 https://t.co/Jxq6en0Tna',NEO Founder Explains Why the Internet Is Imperfect startup itcoin media Overledger xe2 x80 xa6
2019-11-17T20:02:10.000Z,"b'#Bitcoin rate went up today by 1.1%\\n\\nIf you would like to receive these notifications via email or even sms,\\xe2\\x80\\xa6 https://t.co/6B2SiDuuSt'",Bitcoin rate went up today y 1 1 n nIf you would like to receive these notifications via email or even sms xe2 x80 xa6
2019-11-17T20:02:13.000Z,"\"b'Matte\\xc3\\xbcs 19:4\\n\"\"Hebt u niet gelezen?\"\"\\n\\nMatte\\xc3\\xbcs 19:4bis\\n\"\"Neen",Matte xc3 xcs 19 4 n Het u niet gelezen n nMatte xc3 xcs 19 4is n Neen
2019-11-17T20:02:14.000Z,"b'#Bitcoin rate went up today by 1.1%\\n\\nIf you would like to receive these notifications via email or even sms,\\xe2\\x80\\xa6 https://t.co/E7eH1lyoG9'",Bitcoin rate went up today y 1 1 n nIf you would like to receive these notifications via email or even sms xe2 x80 xa6
