2019-11-17T11:24:30.000Z,"\"b\"\"@DiverterB Please",Please
2019-11-17T11:30:28.000Z,b'Et si le pire ennemi du #bitcoin n\xe2\x80\x99\xc3\xa9tait pas #amazon avec le #libra mais #Google !!!!! #disruption #blockchain\xe2\x80\xa6 https://t.co/0ktwmAJRp3',Et si le pire ennemi du itcoin n xe2 x80 x99 xc3 xa9tait pas amazon avec le lira mais Google disruption lockchain xe2 x80 xa6
2019-11-17T11:30:28.000Z,"b'Check out #HostHavoc for the best #deals on #Game, #Voice, #Dedicated #Servers and #Web #Hosting &gt;\\xe2\\x80\\xa6 https://t.co/WySA8iLuT3'",Check out HostHavoc for the est deals on Game Voice Dedicated Servers and We Hosting gt xe2 x80 xa6
2019-11-17T11:30:30.000Z,"b'Imagine Dragons - Bad Liar. 2nd go, 1 miss :(\\n\\nhttps://t.co/fB7sXfbapV\\n\\n@CaptinBitcoin \\n\\n#BitCoin\\n#MetaNet\\n#ICU https://t.co/w77OUAgL6t'",Imagine Dragons Bad Liar 2nd go 1 miss n nhttps n n BitCoin n MetaNet n ICU
2019-11-17T11:30:30.000Z,b'@Global_Witness Excellent report-again showing up how @CompaniesHouse has a patina of regulations that any conman c\xe2\x80\xa6 https://t.co/tQThBnTuqV',Excellent report again showing up how has a patina of regulations that any conman c xe2 x80 xa6
2019-11-17T11:30:31.000Z,"b'Buy Bitcoin With PayPal! Also with CC, paysafecard, Skrill, OKPAY https://t.co/Qdq3dxXr95 #btc #bitcoin 06 https://t.co/epp2bR0Z1J'",Buy Bitcoin With PayPal Also with CC paysafecard Skrill OKPAY tc itcoin 06
2019-11-17T11:30:31.000Z,b'Calibra Head David Marcus Touts Libra\xe2\x80\x99s Money Laundering Standards\n\n#binaryoptions #bitcoinnews #bitcoin https://t.co/9RkpQxZUcb',Calira Head David Marcus Touts Lira xe2 x80 x99s Money Laundering Standards n n inaryoptions itcoinnews itcoin
2019-11-17T11:30:36.000Z,"b'El precio del Bitcoin: 7,734.41\\xe2\\x82\\xac #bitcoin #elpreciodelbtc #criptomonedas'",El precio del Bitcoin 7 734 41 xe2 x82 xac itcoin elpreciodeltc criptomonedas
2019-11-17T11:31:02.000Z,"b'Wtf? 2 exchanges with exactly the same data on @CoinMarketCap. Seriously guys? Cmon, wake up. Do something. You re\\xe2\\x80\\xa6 https://t.co/NArqlsKNXg'",Wtf 2 exchanges with exactly the same data on Seriously guys Cmon wake up Do something You re xe2 x80 xa6
2019-11-17T11:31:10.000Z,b'\xe3\x81\x93\xe3\x82\x8c\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xae\xe6\x99\x82\xe4\xbb\xa3\xe3\x81\xaf\xe5\x89\xaf\xe5\x8f\x8e\xe5\x85\xa5\xe3\x81\x8c\xe7\xb5\xb6\xe5\xaf\xbe\xe3\x81\xab\xe5\xbf\x85\xe8\xa6\x81\xe3\x81\xab\xe3\x81\xaa\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe3\x83\x96\xe3\x83\x83\xe3\x82\xaf\xe3\x83\xa1\xe3\x83\xbc\xe3\x82\xab\xe3\x83\xbc\xe6\x8a\x95\xe8\xb3\x87\xe3\x82\x92\xe5\xa7\x8b\xe3\x82\x81\xe3\x81\xbe\xe3\x81\x9b\xe3\x82\x93\xe3\x81\x8b\xe3\x80\x82\xe8\x88\x88\xe5\x91\xb3\xe3\x81\xae\xe3\x81\x82\xe3\x82\x8b\xe6\x96\xb9\xe3\x81\xafLINE@\xe7\x99\xbb\xe9\x8c\xb2\xe3\x81\xae\xe4\xb8\x8a\xe3\x80\x81\xe3\x83\xa1\xe3\x83\x83\xe3\x82\xbb\xe3\x83\xbc\xe3\x82\xb8\xe3\x82\x92\xe4\xb8\x8b\xe3\x81\x95\xe3\x81\x84\xe3\x80\x82#Bitcoin  #\xe5\x89\xaf\xe5\x8f\x8e\xe5\x85\xa5  #\xe5\x89\xaf\xe6\xa5\xad  #\xe3\x81\x8a\xe9\x87\x91  #\xe7\xa8\xbc\xe3\x81\x8e\xe3\x81\x9f\xe3\x81\x84  #\xe7\xa8\xbc\xe3\x81\x90 #\xe3\x83\x8f\xe3\x82\xa4\xe3\x83\x97 #\xe3\x83\x93\xe3\x82\xb8\xe3\x83\x8d\xe3\x82\xb9',xe3 x81 x93 xe3 x82 x8c xe3 x81 x8 xe3 x82 x89 xe3 x81 xae xe6 x99 x82 xe4 x xa3 xe3 x81 xaf xe5 x89 xaf xe5 x8f x8e xe5 x85 xa5 xe3 x81 x8c xe7 x5 x6 xe5 xaf xe xe3 x81 xa xe5 xf x85 xe8 xa6 x81 xe3 x81 xa xe3 x81 xaa xe3 x82 x8a xe3 x81 xe xe3 x81 x99 xe3 x80 x82 xe3 x83 x96 xe3 x83 x83 xe3 x82 xaf xe3 x83 xa1 xe3 x83 xc xe3 x82 xa xe3 x83 xc xe6 x8a x95 xe8 x3 x87 xe3 x82 x92 xe5 xa7 x8 xe3 x82 x81 xe3 x81 xe xe3 x81 x9 xe3 x82 x93 xe3 x81 x8 xe3 x80 x82 xe8 x88 x88 xe5 x91 x3 xe3 x81 xae xe3 x81 x82 xe3 x82 x8 xe6 x96 x9 xe3 x81 xafLINE xe7 x99 x xe9 x8c x2 xe3 x81 xae xe4 x8 x8a xe3 x80 x81 xe3 x83 xa1 xe3 x83 x83 xe3 x82 x xe3 x83 xc xe3 x82 x8 xe3 x82 x92 xe4 x8 x8 xe3 x81 x95 xe3 x81 x84 xe3 x80 x82 Bitcoin xe5 x89 xaf xe5 x8f x8e xe5 x85 xa5 xe5 x89 xaf xe6 xa5 xad xe3 x81 x8a xe9 x87 x91 xe7 xa8 xc xe3 x81 x8e xe3 x81 x9f xe3 x81 x84 xe7 xa8 xc xe3 x81 x90 xe3 x83 x8f xe3 x82 xa4 xe3 x83 x97 xe3 x83 x93 xe3 x82 x8 xe3 x83 x8d xe3 x82 x9
2019-11-17T11:31:52.000Z,b'25+ in NL. Adoption is coming soon! #bitcoin #Crypto https://t.co/UEtzOZWOjw',25 in NL Adoption is coming soon itcoin Crypto
2019-11-17T11:31:53.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T11:32:00.000Z,b'#VIPs @BetChain get an automatic 50% bonus every Sunday!\n#promotion #VIP #Casino #BitCoin',VIPs get an automatic 50 onus every Sunday n promotion VIP Casino BitCoin
