2019-11-17T15:33:39.000Z,b'https://t.co/yPCWdSaYIW #andreasantonopoulos #bitcoin #blockchain',andreasantonopoulos itcoin lockchain
2019-11-17T15:39:42.000Z,"\"b\"\"Tip me some #Bitcoin. Im tryna see sum' https://t.co/CneVOryAWp \\n\\n#BTC https://t.co/w3UrKensik\"\"\"",Tip me some Bitcoin Im tryna see sum n n BTC
2019-11-17T15:39:49.000Z,b'Trade #Crypto with the most trusted broker. Check out Coinbase. Get $10 of free Bitcoin when you sign up with my li\xe2\x80\xa6 https://t.co/97wsF5TnwC',Trade Crypto with the most trusted roker Check out Coinase Get 10 of free Bitcoin when you sign up with my li xe2 x80 xa6
2019-11-17T15:39:59.000Z,"b'Has anyone else had problems withdrawing funds from #Brave to the #Uphold wallet? I see the coins in the Rewards, w\\xe2\\x80\\xa6 https://t.co/pANHWMpZ5b'",Has anyone else had prolems withdrawing funds from Brave to the Uphold wallet I see the coins in the Rewards w xe2 x80 xa6
2019-11-17T15:40:02.000Z,b'MercadoBitcoin(BTC) =&gt; R$36399 | BlockChain(BTC) =&gt; R$35802 | MercadoBitcoin(LTC) =&gt; R$254 #bitcoin #litecoin',MercadoBitcoin BTC gt R 36399 BlockChain BTC gt R 35802 MercadoBitcoin LTC gt R 254 itcoin litecoin
2019-11-17T15:40:03.000Z,b'The problem with the recentralization of Bitcoin explained #Bitcoin  https://t.co/CIw2WkL7Xf',The prolem with the recentralization of Bitcoin explained Bitcoin
2019-11-17T15:40:03.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 18:40:03\\n#Bitcoin: $8,593.499\\n#Ethereum: $185.616\\n#XRP: $0.266\\xe2\\x80\\xa6 https://t.co/xyP9ldlKJ8'",Top 5 cryptocurrencies n Alert Time 2019 11 17 18 40 03 n Bitcoin 8 593 499 n Ethereum 185 616 n XRP 0 266 xe2 x80 xa6
2019-11-17T15:40:29.000Z,"\"b'Neuer Artikel \\xe2\\x99\\xa6\"\"Decentraland: Neues Casino und mit \\xc3\\xbcber 100.000 Euro dotierter Kreativ-Wettbewerb\"\"\\xe2\\x99\\xa6 ver\\xc3\\xb6ffentlicht\\xe2\\x80\\xa6 https://t.co/FrFWIaseDJ'\"",Neuer Artikel xe2 x99 xa6 Decentraland Neues Casino und mit xc3 xcer 100 000 Euro dotierter Kreativ Wettewer xe2 x99 xa6 ver xc3 x6ffentlicht xe2 x80 xa6
2019-11-17T15:40:46.000Z,b'#17Nov 10:40\nPrecio del #Bitcoin: 8593.87 USD\n#BTC $BTC https://t.co/anNtEiB2MZ',17Nov 10 40 nPrecio del Bitcoin 8593 87 USD n BTC BTC
2019-11-17T15:40:46.000Z,b'#crypto mkt cap last hour\n\n\xf0\x9f\x9a\x80\n$BTC +203.400m\n$ETH +61.464m\n$XRP +24.667m\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$NEO -1.947m\n$LUNA -1.587m\n$ONT -1.490m\xe2\x80\xa6 https://t.co/fQ0QrrdLCq',crypto mkt cap last hour n n xf0 x9f x9a x80 n BTC 203 400m n ETH 61 464m n XRP 24 667m n n xf0 x9f x8c xa7 xef x8 x8f n NEO 1 947m n LUNA 1 587m n ONT 1 490m xe2 x80 xa6
2019-11-17T15:40:50.000Z,b'By May 2017 1189 #bitcoin ATMs were installed around the world with an average fee of 8.82%.',By May 2017 1189 itcoin ATMs were installed around the world with an average fee of 8 82
2019-11-17T15:40:56.000Z,"b'@DACX_io digital Asset and Commodity Exchange use man-made brainpower and elite registering innovation, upgraded to\\xe2\\x80\\xa6 https://t.co/pBs4vm2HCM'",digital Asset and Commodity Exchange use man made rainpower and elite registering innovation upgraded to xe2 x80 xa6
