2019-11-17T02:33:02.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T02:39:20.000Z,"b'Where Will Square Be in 10 Years? It might morph into an incredibly valuable financial services company, or even a\\xe2\\x80\\xa6 https://t.co/VIkQndYgni'",Where Will Square Be in 10 Years It might morph into an incredily valuale financial services company or even a xe2 x80 xa6
2019-11-17T02:39:33.000Z,b'#16Nov 21:39\nPrecio del #Bitcoin: 8552.59 USD\n#BTC $BTC https://t.co/sao0lcTSv5',16Nov 21 39 nPrecio del Bitcoin 8552 59 USD n BTC BTC
2019-11-17T02:40:01.000Z,b'MercadoBitcoin(BTC) =&gt; R$36300 | BlockChain(BTC) =&gt; R$35626 | MercadoBitcoin(LTC) =&gt; R$249 #bitcoin #litecoin',MercadoBitcoin BTC gt R 36300 BlockChain BTC gt R 35626 MercadoBitcoin LTC gt R 249 itcoin litecoin
2019-11-17T02:40:02.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 05:40:02\\n#Bitcoin: $8,555.131\\n#Ethereum: $183.455\\n#XRP: $0.265\\xe2\\x80\\xa6 https://t.co/YzUJAZjeaw'",Top 5 cryptocurrencies n Alert Time 2019 11 17 05 40 02 n Bitcoin 8 555 131 n Ethereum 183 455 n XRP 0 265 xe2 x80 xa6
2019-11-17T02:40:12.000Z,b'Nuovo post su Bitcoin News: ##Bitcoin #\xc3\xa8 #Sicuro? [https://t.co/ghNPPgmw0Y] #\xc3\xa8 #Blockchain #Ethereum',Nuovo post su Bitcoin News Bitcoin xc3 xa8 Sicuro xc3 xa8 Blockchain Ethereum
2019-11-17T02:40:26.000Z,b'@bitcoincashZA Do you know that you can start earning between $500-$5000 weekly from bitcoin mining and you can do\xe2\x80\xa6 https://t.co/EwMkaC0JHt',Do you know that you can start earning etween 500 5000 weekly from itcoin mining and you can do xe2 x80 xa6
2019-11-17T02:40:38.000Z,b'$EIDOS is the KING of $EOS &amp; #Dapps with 32M daily transactions.\n\nBow down to your new leader. @enumivo\n\n#ddos\xe2\x80\xa6 https://t.co/uiNxVSruhx',EIDOS is the KING of EOS amp Dapps with 32M daily transactions n nBow down to your new leader n n ddos xe2 x80 xa6
2019-11-17T02:40:45.000Z,b'#crypto mkt cap last hour\n\n\xf0\x9f\x9a\x80\n$XRP +33.664m\n$CRO +4.331m\n$LTC +3.998m\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$BTC -129.633m\n$NEO -12.101m\n$BCH -4.944m\n\n#bitcoin #cryptocurrency',crypto mkt cap last hour n n xf0 x9f x9a x80 n XRP 33 664m n CRO 4 331m n LTC 3 998m n n xf0 x9f x8c xa7 xef x8 x8f n BTC 129 633m n NEO 12 101m n BCH 4 944m n n itcoin cryptocurrency
2019-11-17T02:40:58.000Z,b'@Mayor_Steinberg @SacCountyDA @SPDOutreach @sacbee_news @sacsheriff @SacPolice @FBI @CIA @DHSgov @POTUS\xe2\x80\xa6 https://t.co/WR3kZO2SLU',xe2 x80 xa6
2019-11-17T02:41:01.000Z,b'We can build your Political network organically. https://t.co/MsU3yfcA3O #ad #wsj #nytimes #reuters #bloomberg\xe2\x80\xa6 https://t.co/wLYnNyRQsp',We can uild your Political network organically ad wsj nytimes reuters loomerg xe2 x80 xa6
2019-11-17T02:41:39.000Z,b'@BitcoinCashCity @bitcoincashZA @AlchemyGPS @bitcoincashZA Do you know that you can start earning between $500-$500\xe2\x80\xa6 https://t.co/sOFtTmYxE7',Do you know that you can start earning etween 500 500 xe2 x80 xa6
2019-11-17T02:42:15.000Z,"b'#Bitcoin Binance 4h BTCUSDT:8493.74 RSI(36.48) StochRSI(55.20,48.03) macd(-71.05,-79.22) sma21:8576.71 sma50:8709.0\\xe2\\x80\\xa6 https://t.co/AohsOMQzAw'",Bitcoin Binance 4h BTCUSDT 8493 74 RSI 36 48 StochRSI 55 20 48 03 macd 71 05 79 22 sma21 8576 71 sma50 8709 0 xe2 x80 xa6
2019-11-17T02:42:17.000Z,b'@BitcoinCom @bitcoincashZA @bitcoincashZA Do you know that you can start earning between $500-$5000 weekly from bit\xe2\x80\xa6 https://t.co/CZgSXbjzb3',Do you know that you can start earning etween 500 5000 weekly from it xe2 x80 xa6
2019-11-17T02:42:19.000Z,b'#Trending: Ripple Stagnates Around $0.27After Mounting at $0.2870 - CryptoNewsZ\n\n#blockchain #bitcoin #ethereium\xe2\x80\xa6 https://t.co/xLI6cWfdTt',Trending Ripple Stagnates Around 0 27After Mounting at 0 2870 CryptoNewsZ n n lockchain itcoin ethereium xe2 x80 xa6
2019-11-17T02:43:15.000Z,"b'O valor m\\xc3\\xa9dio das criptomoedas \\xc3\\xa9:\\n Bitcoin(BTC) R$ 35639,76 \\n Litecoin(LTC) R$ 243,77 \\n Bitcoin Cash(BCH) R$ 1112,5\\xe2\\x80\\xa6 https://t.co/X10qmnnGCb'",O valor m xc3 xa9dio das criptomoedas xc3 xa9 n Bitcoin BTC R 35639 76 n Litecoin LTC R 243 77 n Bitcoin Cash BCH R 1112 5 xe2 x80 xa6
2019-11-17T02:43:19.000Z,b'#Crypto #Blockchain #ethereum #bitcoin #ether #cryptocurrency #tokensale.\xc2\xa0https://t.co/WUa75VvHuX https://t.co/zUo3qnhS3P',Crypto Blockchain ethereum itcoin ether cryptocurrency tokensale xc2 xa0https
2019-11-17T02:43:23.000Z,b'Historic Pattern And Bitcoin Difficulty Adjustment Suggest Huge Bull Run In Coming Weeks\n\nhttps://t.co/dy6MkJ7IAL\xe2\x80\xa6 https://t.co/KS3Y2fAZGC',Historic Pattern And Bitcoin Difficulty Adjustment Suggest Huge Bull Run In Coming Weeks n nhttps
2019-11-17T02:44:07.000Z,b'Crypto Tipping Point: Insider Says #Bitcoin (BTC) Users Will Shift From \xe2\x80\x98Acquire to Defend\xe2\x80\x99 reported by https://t.co/5NCIMc5zHF ---- #News',Crypto Tipping Point Insider Says Bitcoin BTC Users Will Shift From xe2 x80 x98Acquire to Defend xe2 x80 x99 reported y News
2019-11-17T02:44:14.000Z,b'#crypto #cryptocurrencies  #ethereum #cryptoearnings #cryptoearn #btc #cryptoearning #excenge #bitcoin\xe2\x80\xa6 https://t.co/imAIPjD613',crypto cryptocurrencies ethereum cryptoearnings cryptoearn tc cryptoearning excenge itcoin xe2 x80 xa6
2019-11-17T02:44:33.000Z,b'ConsenSys CSO Seeks to Raise $50M for New Blockchain Investment Fund https://t.co/Tb3mqKnWPl #Bitcoin\xe2\x80\xa6 https://t.co/Tgu7MFPG2Z',ConsenSys CSO Seeks to Raise 50M for New Blockchain Investment Fund Bitcoin xe2 x80 xa6
2019-11-17T02:44:50.000Z,b'\xf0\x9f\x94\x84 Prices update in $USD (1 hour):\n\n$BTC   - 8486.6 $    (+0.06 %)\n$ETH   - 182.14 $    (-0.02 %)\n$XRP   - 0.26 $\xe2\x80\xa6 https://t.co/gUWM8IrdF5',xf0 x9f x94 x84 Prices update in USD 1 hour n n BTC 8486 6 0 06 n ETH 182 14 0 02 n XRP 0 26 xe2 x80 xa6
2019-11-17T02:44:51.000Z,b'\xf0\x9f\x94\x84 Prices update in $USDT (1 hour):\n\n$BTC - 8498.02 $       (+0.11 %)\n$ETH - 182.4 $         (-0.03 %)\n$XRP - 0.26 $\xe2\x80\xa6 https://t.co/ucVuK4M2KH',xf0 x9f x94 x84 Prices update in USDT 1 hour n n BTC 8498 02 0 11 n ETH 182 4 0 03 n XRP 0 26 xe2 x80 xa6
