2019-11-17T02:00:58.000Z,b'Anyone else notice how all the 20-21 bulls have turned into 21-22 bulls? \n\nWhatcha scared of? \xf0\x9f\x98\x86 $BTC #bitcoin',Anyone else notice how all the 20 21 ulls have turned into 21 22 ulls n nWhatcha scared of xf0 x9f x98 x86 BTC itcoin
2019-11-17T02:01:02.000Z,b'#core #scientific #opens #gigantic #mining #facility for #2020 \n#instabitcoin #instaethereum #cryptocurrency\xe2\x80\xa6 https://t.co/6sgpZ3YXaV',core scientific opens gigantic mining facility for 2020 n instaitcoin instaethereum cryptocurrency xe2 x80 xa6
2019-11-17T02:01:07.000Z,b'1 #BTC (#Bitcoin) quotes:\n$8473.35/$8483.46 #Bitstamp\n$8476.29/$8477.40 #Kraken\n\xe2\x87\xa2$-7.17/$4.05',1 BTC Bitcoin quotes n 8473 35 8483 46 Bitstamp n 8476 29 8477 40 Kraken n xe2 x87 xa2 7 17 4 05
2019-11-17T02:01:13.000Z,b'\xe2\x82\xac 7735.96 #bitcoin',xe2 x82 xac 7735 96 itcoin
2019-11-17T02:01:14.000Z,b'\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3\xe5\x86\x8d\xe9\x96\x8b\xe3\x81\xaf\xe6\xbf\x80\xe3\x82\xa2\xe3\x83\x84\n\xe5\xa1\xa9\xe6\xbc\xac\xe3\x81\x91\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x9f\xe3\x81\xae\xe3\x81\xa7\xe9\x81\x8a\xe3\x81\xbc\xe3\x81\x86\n\nhttps://t.co/bpVWWcnTta\n#bitcoin #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\nhttps://t.co/vQ2esiFjrF',xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe5 x86 x8d xe9 x96 x8 xe3 x81 xaf xe6 xf x80 xe3 x82 xa2 xe3 x83 x84 n xe5 xa1 xa9 xe6 xc xac xe3 x81 x91 xe3 x81 x97 xe3 x81 xa6 xe3 x81 x9f xe3 x81 xae xe3 x81 xa7 xe9 x81 x8a xe3 x81 xc xe3 x81 x86 n nhttps xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8
2019-11-17T02:01:26.000Z,b'#crypto price changes last hour\n\n\xf0\x9f\x9a\x80\n$DENT +49.70%\n$VEE +17.62%\n$OST +10.00%\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$NPXS -33.47%\n$XDN -12.68%\n$RDD -10.\xe2\x80\xa6 https://t.co/IgyoZqowh9',crypto price changes last hour n n xf0 x9f x9a x80 n DENT 49 70 n VEE 17 62 n OST 10 00 n n xf0 x9f x8c xa7 xef x8 x8f n NPXS 33 47 n XDN 12 68 n RDD 10 xe2 x80 xa6
2019-11-17T02:01:37.000Z,b'@extstock @dcs_token #cryptocurrencies #bitcoin',cryptocurrencies itcoin
2019-11-17T02:01:41.000Z,b'\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3(BTC)\xe3\x82\x92\xe8\xb2\xb7\xe3\x81\x88\xe3\x81\xb0\xe5\xa4\xa7\xe5\xaf\x8c\xe8\xb1\xaa\xe3\x81\xab\xe3\x81\xaa\xe3\x82\x8c\xe3\x82\x8b\xe3\x80\x81\xe3\x83\xa2\xe3\x83\xbc\xe3\x82\xac\xe3\x83\xb3\xe3\x83\xbb\xe3\x82\xaf\xe3\x83\xaa\xe3\x83\xbc\xe3\x82\xafCEO\xe3\x81\xae\xe5\xa4\xa7\xe8\x83\x86\xe7\x99\xba\xe8\xa8\x80 #cryptocurrency #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #bitcoin #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #blockchain #\xe3\x83\x96\xe3\x83\xad\xe3\x83\x83\xe3\x82\xaf\xe3\x83\x81\xe3\x82\xa7\xe3\x83\xbc\xe3\x83\xb3 https://t.co/et1WckHrHc',xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 BTC xe3 x82 x92 xe8 x2 x7 xe3 x81 x88 xe3 x81 x0 xe5 xa4 xa7 xe5 xaf x8c xe8 x1 xaa xe3 x81 xa xe3 x81 xaa xe3 x82 x8c xe3 x82 x8 xe3 x80 x81 xe3 x83 xa2 xe3 x83 xc xe3 x82 xac xe3 x83 x3 xe3 x83 x xe3 x82 xaf xe3 x83 xaa xe3 x83 xc xe3 x82 xafCEO xe3 x81 xae xe5 xa4 xa7 xe8 x83 x86 xe7 x99 xa xe8 xa8 x80 cryptocurrency xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 itcoin xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 lockchain xe3 x83 x96 xe3 x83 xad xe3 x83 x83 xe3 x82 xaf xe3 x83 x81 xe3 x82 xa7 xe3 x83 xc xe3 x83 x3
2019-11-17T02:02:06.000Z,"\"b\"\"FREE EARN #BITCOIN\\nMinimum 5 Minutes Between Claims Per \\nhttps://t.co/KXcUnNs7iK\\n\\nFirst",FREE EARN BITCOIN nMinimum 5 Minutes Between Claims Per nhttps
2019-11-17T02:02:08.000Z,b'\xe4\xb8\xad\xe8\x8f\xaf\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3\xe3\x81\xae\xe3\x83\xad\xe3\x82\xb4\xe5\x85\xa5\xe3\x82\x8aT\xe3\x82\xb7\xe3\x83\xa3\xe3\x83\x84\xe8\xb2\xa9\xe5\xa3\xb2\xe4\xb8\xad\xef\xbc\x81 #Bitcoin #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #T\xe3\x82\xb7\xe3\x83\xa3\xe3\x83\x84\n#\xe5\x89\xaf\xe6\xa5\xad #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8',xe4 x8 xad xe8 x8f xaf xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe3 x81 xae xe3 x83 xad xe3 x82 x4 xe5 x85 xa5 xe3 x82 x8aT xe3 x82 x7 xe3 x83 xa3 xe3 x83 x84 xe8 x2 xa9 xe5 xa3 x2 xe4 x8 xad xef xc x81 Bitcoin xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 T xe3 x82 x7 xe3 x83 xa3 xe3 x83 x84 n xe5 x89 xaf xe6 xa5 xad xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8
2019-11-17T02:02:08.000Z,b'#bitcoin ha sido m\xc3\xa1s rentable que los esquemas de finanzas descentralizadas #DeFi en el 2019 https://t.co/x5fP91zS2J via @esCointelegraph',itcoin ha sido m xc3 xa1s rentale que los esquemas de finanzas descentralizadas DeFi en el 2019 via
2019-11-17T02:02:42.000Z,b'$algo / $btc\n\nText book adam and eve reversal playing out here. Only clear skies above. I expect a 90-100% return i\xe2\x80\xa6 https://t.co/FqlldFKitp',algo tc n nText ook adam and eve reversal playing out here Only clear skies aove I expect a 90 100 return i xe2 x80 xa6
2019-11-17T02:02:50.000Z,"b'\\xe7\\x8f\\xbe\\xe5\\x9c\\xa8\\xe3\\x81\\xae1\\xe3\\x83\\x93\\xe3\\x83\\x83\\xe3\\x83\\x88\\xe3\\x82\\xb3\\xe3\\x82\\xa4\\xe3\\x83\\xb3\\xe3\\x81\\x82\\xe3\\x81\\x9f\\xe3\\x82\\x8a\\xe3\\x81\\xae\\xe5\\x80\\xa4\\xe6\\xae\\xb5\\xe3\\x81\\xaf923,590.1859\\xe5\\x86\\x86\\xe3\\x81\\xa7\\xe3\\x81\\x99\\xe3\\x80\\x82\\xe5\\x80\\xa4\\xe6\\xae\\xb5\\xe3\\x81\\xae\\xe5\\x8f\\x96\\xe5\\xbe\\x97\\xe6\\x97\\xa5\\xe6\\x99\\x82\\xe3\\x81\\xafNov 17, 2019 02:02:00 UTC\\xe3\\x81\\xa7\\xe3\\x81\\x99 #bitcoin #\\xe3\\x83\\x93\\xe3\\x83\\x83\\xe3\\x83\\x88\\xe3\\x82\\xb3\\xe3\\x82\\xa4\\xe3\\x83\\xb3'",xe7 x8f xe xe5 x9c xa8 xe3 x81 xae1 xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe3 x81 x82 xe3 x81 x9f xe3 x82 x8a xe3 x81 xae xe5 x80 xa4 xe6 xae x5 xe3 x81 xaf923 590 1859 xe5 x86 x86 xe3 x81 xa7 xe3 x81 x99 xe3 x80 x82 xe5 x80 xa4 xe6 xae x5 xe3 x81 xae xe5 x8f x96 xe5 xe x97 xe6 x97 xa5 xe6 x99 x82 xe3 x81 xafNov 17 2019 02 02 00 UTC xe3 x81 xa7 xe3 x81 x99 itcoin xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3
2019-11-17T02:02:55.000Z,"b'The more control you desire, the less you will gain. #Bitcoin screwed you #CentralBanks.'",The more control you desire the less you will gain Bitcoin screwed you CentralBanks
2019-11-17T02:03:01.000Z,b'Venture Capital TV\xe2\x80\x99s Showcase features companies looking for start-up growth capital https://t.co/8fkm41sXgg  #wsj\xe2\x80\xa6 https://t.co/tnIMLCecSW',Venture Capital TV xe2 x80 x99s Showcase features companies looking for start up growth capital wsj xe2 x80 xa6
