2019-11-17T21:00:04.000Z,b'San Francisco 49ers vs Arizona Cardinals. #bitcoin #betting - https://t.co/qdzukuL8eu',San Francisco 49ers vs Arizona Cardinals itcoin etting
2019-11-17T21:00:05.000Z,b'One Bitcoin now worth $8534.04@bitstamp. High $8631.600. Low $8375.000. Market Cap $154.052 Billion #bitcoin https://t.co/7FZdIfaKfP',One Bitcoin now worth 8534 04 High 8631 600 Low 8375 000 Market Cap 154 052 Billion itcoin
2019-11-17T21:00:06.000Z,b'TOP-12 most-mentioned #crypto this hour:\n1. #bitcoin\n2. #ethereum\n3. #xrp\n4. #quant\n5. #bitcoincash\n6. #litecoin\n7.\xe2\x80\xa6 https://t.co/toldTOsN3w',TOP 12 most mentioned crypto this hour n1 itcoin n2 ethereum n3 xrp n4 quant n5 itcoincash n6 litecoin n7 xe2 x80 xa6
2019-11-17T21:00:09.000Z,"b'Nov 17, 2019 20:59:00 UTC | 8,542.60$ | 7,730.00\\xe2\\x82\\xac | 6,618.40\\xc2\\xa3 | #Bitcoin #BTC $BTC #crypto #financial #news https://t.co/ycXqHKfc63'",Nov 17 2019 20 59 00 UTC 8 542 60 7 730 00 xe2 x82 xac 6 618 40 xc2 xa3 Bitcoin BTC BTC crypto financial news
2019-11-17T21:00:12.000Z,"b'Nov 17, 2019 01:00PM #Bitcoin Price:\\nUSD 8683.68 | EUR 7713.26 | JPY 926475.28'",Nov 17 2019 01 00PM Bitcoin Price nUSD 8683 68 EUR 7713 26 JPY 926475 28
2019-11-17T21:00:12.000Z,"b'Top 100 avg 24h return: 1.8\\xc2\\xb13.6%; 81 up, 18 down\\n$BTC 1.9%  $ETH 2.2%\\nBest:\\n17.1% $EKT @EKTcoin\\n16.1% $CENNZ\\xe2\\x80\\xa6 https://t.co/vOmTOQkxuz'",Top 100 avg 24h return 1 8 xc2 x13 6 81 up 18 down n BTC 1 9 ETH 2 2 nBest n17 1 EKT n16 1 CENNZ xe2 x80 xa6
2019-11-17T21:00:19.000Z,"b'#BTC: \\xe2\\x82\\xba49.082,00\\n#ETH: \\xe2\\x82\\xba1.060,75\\n#LTC:  \\xe2\\x82\\xba342,95\\n#XRP: \\xe2\\x82\\xba1,52\\n\\n18.11.19 - 00:00\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/RsR14kpgLg'",BTC xe2 x82 xa49 082 00 n ETH xe2 x82 xa1 060 75 n LTC xe2 x82 xa342 95 n XRP xe2 x82 xa1 52 n n18 11 19 00 00 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
2019-11-17T21:00:20.000Z,b'#bitcoin A very easy way to earn money. Do you want to get free bitcoin? Discover the magic \xe2\x96\xb6\xe2\x80\xa6 https://t.co/JRIIzPZjx3',itcoin A very easy way to earn money Do you want to get free itcoin Discover the magic xe2 x96 x6 xe2 x80 xa6
2019-11-17T21:00:25.000Z,b'ConsenSys Strategy Chief Steps Down to Launch Venture Fund #cryptocurrencies #bitcoin #crypto #cryptocurrency\xe2\x80\xa6 https://t.co/o4R1cWdkYX',ConsenSys Strategy Chief Steps Down to Launch Venture Fund cryptocurrencies itcoin crypto cryptocurrency xe2 x80 xa6
2019-11-17T21:00:30.000Z,b'BTC hourly update\n$8538.42    |    -0.0027%\xf0\x9f\x93\x89\n$BTC #BTCUSD #Bitcoin',BTC hourly update n 8538 42 0 0027 xf0 x9f x93 x89 n BTC BTCUSD Bitcoin
2019-11-17T21:00:30.000Z,"b'Bitcoin ATMs Worldwide Hit New Milestone, Surpassing 6,000 #bitcoin #austria #miamiinternationalairport\\xe2\\x80\\xa6 https://t.co/9u6SJgkawa'",Bitcoin ATMs Worldwide Hit New Milestone Surpassing 6 000 itcoin austria miamiinternationalairport xe2 x80 xa6
2019-11-17T21:00:45.000Z,b'#CryptoCotizaci\xc3\xb3n\n\xf0\x9f\x93\xa3 Precios actualizados a las 22:00:41.\n #Bitcoin #Ethereum #XRP #BitcoinCash #Tether #Litecoin\xe2\x80\xa6 https://t.co/P5MesIkOAF',CryptoCotizaci xc3 x3n n xf0 x9f x93 xa3 Precios actualizados a las 22 00 41 n Bitcoin Ethereum XRP BitcoinCash Tether Litecoin xe2 x80 xa6
