2019-11-17T12:25:24.000Z,b'Reply of the Year. #Bitcoin #S2F 2028 https://t.co/TSDEtd42Wi',Reply of the Year Bitcoin S2F 2028
2019-11-17T12:30:22.000Z,"b'#BTCUSD##bitcoin,A week with a clear trend? Or continue shuffling for BITSTAMP:BTCUSD by xosignals\\xe2\\x80\\xa6 https://t.co/1fVIjlVs4N'",BTCUSD itcoin A week with a clear trend Or continue shuffling for BITSTAMP BTCUSD y xosignals xe2 x80 xa6
2019-11-17T12:30:33.000Z,"b'The most important factor to consider when looking at a #cryptocurrency is not the greatness of the project itself,\\xe2\\x80\\xa6 https://t.co/yQZ0RNl4cu'",The most important factor to consider when looking at a cryptocurrency is not the greatness of the project itself xe2 x80 xa6
2019-11-17T12:30:36.000Z,b'Bitcoin Mining and Energy https://t.co/KCdry11vmi @Publish0x\n#bitcoin #mining https://t.co/TqqxHGWCyx',Bitcoin Mining and Energy n itcoin mining
2019-11-17T12:30:36.000Z,b'@coindesk @extstock @ChairmanHeath @christine_dkim @ethereum #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T12:30:38.000Z,"b'Buy Bitcoin With PayPal! Also with CC, paysafecard, Skrill, OKPAY https://t.co/Qdq3dxXr95 #btc #bitcoin 07 https://t.co/gJ6vVyqVoh'",Buy Bitcoin With PayPal Also with CC paysafecard Skrill OKPAY tc itcoin 07
2019-11-17T12:30:58.000Z,b'This morning the Limit Order Book at #Coinbase (Pro) is not painting as nice a picture as it did last night before\xe2\x80\xa6 https://t.co/W8b28DI2me',This morning the Limit Order Book at Coinase Pro is not painting as nice a picture as it did last night efore xe2 x80 xa6
2019-11-17T12:31:02.000Z,b'\xe2\x80\x98Plan A Has Failed\xe2\x80\x99 \xe2\x80\x94 Global Debt to Hit $255T or $12.1M per Bitcoin https://t.co/xpnMgYbRM9 #Bitcoin #FiatMoney #centralbank',xe2 x80 x98Plan A Has Failed xe2 x80 x99 xe2 x80 x94 Gloal Det to Hit 255T or 12 1M per Bitcoin Bitcoin FiatMoney centralank
2019-11-17T12:31:08.000Z,b'Tomorrow is the last day for the bullish cenario realize itself\nPrice is sitting at 0.618\nDeath cross between 200D\xe2\x80\xa6 https://t.co/hTdQQSPDT0',Tomorrow is the last day for the ullish cenario realize itself nPrice is sitting at 0 618 nDeath cross etween 200D xe2 x80 xa6
2019-11-17T12:31:17.000Z,"b'As more people use #Bitcoin as a SoV, the result will be more people using Bitcoin as a SoV.'",As more people use Bitcoin as a SoV the result will e more people using Bitcoin as a SoV
2019-11-17T12:31:17.000Z,b'#Bitcoin \xf0\x9f\x93\x88 \n\n\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 44%\n\n price: $8543.32',Bitcoin xf0 x9f x93 x88 n n xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 44 n n price 8543 32
2019-11-17T12:31:36.000Z,"\"b\"\"rightttt... #bitcoin doesn't wanna dip that deep - only managed to dip to low of 8363 on bitstamp.\\n\\ni) Good bullish\\xe2\\x80\\xa6 https://t.co/CnHbegGMVx\"\"\"",rightttt itcoin doesn t wanna dip that deep only managed to dip to low of 8363 on itstamp n ni Good ullish xe2 x80 xa6
