2019-11-17T04:35:37.000Z,b'#bitcoinart #cyborg\n#bitcoin #cryptoart https://t.co/h6GRFJ2sFC',itcoinart cyorg n itcoin cryptoart
2019-11-17T04:42:16.000Z,"b'#Bitcoin Binance 4h BTCUSDT:8478.59 RSI(35.01) StochRSI(56.91,52.50) macd(-68.85,-77.30) sma21:8561.88 sma50:8702.8\\xe2\\x80\\xa6 https://t.co/77TIaKy0Xf'",Bitcoin Binance 4h BTCUSDT 8478 59 RSI 35 01 StochRSI 56 91 52 50 macd 68 85 77 30 sma21 8561 88 sma50 8702 8 xe2 x80 xa6
2019-11-17T04:42:22.000Z,"b'\\xe6\\x97\\xa5\\xe6\\x9c\\xac\\xe3\\x81\\xa7\\xe4\\xb8\\x80\\xe7\\x95\\xaa\\xe7\\xb0\\xa1\\xe5\\x8d\\x98\\xe3\\x81\\xaaBitCoin\\xe5\\x8f\\x96\\xe5\\xbc\\x95\\xe6\\x89\\x80\\xe2\\x80\\x9dcoincheck\"\"\\nxe3x81xa7xe3x81xaf24xe6x99x82xe9x96x93xe3x83x93xe3x83x83xe3x83x88xe3x82xb3xe3x82xa4xe3x83xb3xe3x81xaexe3x81xbbxe3x81xbcxe5x85xa8xe3x81xa6xe3x81xaexe5x8fx96xe5xbcx95xe3x81x8cxe5x8fxafxe8x83xbdxe3x81xa7xe3x81x99xe3x80x82 xe5xa0x85xe5x9bxbaxe3x81xaaxe3x82xbbxe3x82xadxe3x83xa5xe3x83xaaxe3x83x86xe3x82xa3. 2xe6xaexb5xe9x9ax8exe8xaax8dxe8xa8xbcxe3x82x84xe3x82xb3xe3x83xbcxe3x83xabxe3x83x89xe3x82xb9xe3x83x88xe3x83xacxe3x83xbcxe3x82xb8xe3x81xabxe3x82x88xe3x81xa3xe3x81xa6xe3x80x81xe3x81x82xe3x81xaaxe3x81x9fxe3x81xaexe3x83x93xe3x83x83xe3x83x88xe3x82xb3xe3x82xa4xe3x83xb3xe3x82x92xe5xaex88xe3x82x8axe3x81xbexe3x81x99xe3x80x82xe3x81xa0xe3x83xafxe3x83xb3xefxbcx81xe2x80xa6 https://t.co/5tZy4stPr7'",xe6 x97 xa5 xe6 x9c xac xe3 x81 xa7 xe4 x8 x80 xe7 x95 xaa xe7 x0 xa1 xe5 x8d x98 xe3 x81 xaaBitCoin xe5 x8f x96 xe5 xc x95 xe6 x89 x80 xe2 x80 x9dcoincheck nxe3x81xa7xe3x81xaf24xe6x99x82xe9x96x93xe3x83x93xe3x83x83xe3x83x88xe3x82x3xe3x82xa4xe3x83x3xe3x81xaexe3x81xxe3x81xcxe5x85xa8xe3x81xa6xe3x81xaexe5x8fx96xe5xcx95xe3x81x8cxe5x8fxafxe8x83xdxe3x81xa7xe3x81x99xe3x80x82 xe5xa0x85xe5x9xaxe3x81xaaxe3x82xxe3x82xadxe3x83xa5xe3x83xaaxe3x83x86xe3x82xa3 2xe6xaex5xe9x9ax8exe8xaax8dxe8xa8xcxe3x82x84xe3x82x3xe3x83xcxe3x83xaxe3x83x89xe3x82x9xe3x83x88xe3x83xacxe3x83xcxe3x82x8xe3x81xaxe3x82x88xe3x81xa3xe3x81xa6xe3x80x81xe3x81x82xe3x81xaaxe3x81x9fxe3x81xaexe3x83x93xe3x83x83xe3x83x88xe3x82x3xe3x82xa4xe3x83x3xe3x82x92xe5xaex88xe3x82x8axe3x81xexe3x81x99xe3x80x82xe3x81xa0xe3x83xafxe3x83x3xefxcx81xe2x80xa6
2019-11-17T04:42:26.000Z,b'GOLDEN\xf0\x9f\x8f\x85 MONEY \xf0\x9f\x92\xb2 TEAM \xf0\x9f\xa4\x9d PRESENTS\n\xe2\x98\x80\xef\xb8\x8fSPOTIFY\xe2\x98\x80\xef\xb8\x8f \xf0\x9f\x9a\xa8ALERT\xf0\x9f\x9a\xa8\n@TrillWillIsrael Official #Spotify music source\n.\n.\xe2\x80\xa6 https://t.co/A3PPG4HVUQ',GOLDEN xf0 x9f x8f x85 MONEY xf0 x9f x92 x2 TEAM xf0 x9f xa4 x9d PRESENTS n xe2 x98 x80 xef x8 x8fSPOTIFY xe2 x98 x80 xef x8 x8f xf0 x9f x9a xa8ALERT xf0 x9f x9a xa8 n Official Spotify music source n n xe2 x80 xa6
2019-11-17T04:42:55.000Z,"b'BTC Current Price (USD): $ 8,510.10 Vol: \\xc9\\x83 8,971.09 Change (24h): 0.16% $BTC #Bitcoin'",BTC Current Price USD 8 510 10 Vol xc9 x83 8 971 09 Change 24h 0 16 BTC Bitcoin
2019-11-17T04:43:01.000Z,b'Golden\xf0\x9f\x8f\x85 Money\xf0\x9f\x92\xb2Team \xf0\x9f\xa4\x9d Presents\n\xf0\x9f\x92\xb2GRIND MUSIC\xf0\x9f\x92\xb2\xf0\x9f\x9a\xa8ALERT\xf0\x9f\x9a\xa8\n@TrillWillIsrael - Lay Low \n.\n.\n#goldenmoneyteam #agodgmt #VueJS\xe2\x80\xa6 https://t.co/MXQ34YAqnD',Golden xf0 x9f x8f x85 Money xf0 x9f x92 x2Team xf0 x9f xa4 x9d Presents n xf0 x9f x92 x2GRIND MUSIC xf0 x9f x92 x2 xf0 x9f x9a xa8ALERT xf0 x9f x9a xa8 n Lay Low n n n goldenmoneyteam agodgmt VueJS xe2 x80 xa6
2019-11-17T04:43:06.000Z,b'@extstock @dcs_token Hello.\n#cryptocurrency\xc2\xa0#bitcoin',Hello n cryptocurrency xc2 xa0 itcoin
2019-11-17T04:43:13.000Z,"\"b\"\"Argentine et Venezuela: leurs volumes d'\\xc3\\xa9change en Bitcoin atteignent un nouveau record #bitcoin #ethereum\\xe2\\x80\\xa6 https://t.co/FpXNIPP6HD\"\"\"",Argentine et Venezuela leurs volumes d xc3 xa9change en Bitcoin atteignent un nouveau record itcoin ethereum xe2 x80 xa6
2019-11-17T04:43:32.000Z,b'Invite 5 people and get 1 BTC = 8508.6 USD #bitcoin 3AocPGHgx6aWnVuZAfPf7Y2fuPW9u8tkLd',Invite 5 people and get 1 BTC 8508 6 USD itcoin 3AocPGHgx6aWnVuZAfPf7Y2fuPW9u8tkLd
2019-11-17T04:43:53.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T04:44:02.000Z,b'Golden\xf0\x9f\x8e\x96\xef\xb8\x8fMoney \xf0\x9f\x92\xb5 Team\xf0\x9f\xa4\x9d Presents\n\xf0\x9f\x8e\xb5MUSIC TALK\xf0\x9f\x8e\xb5 \xf0\x9f\x9a\xa8 ALERT\xf0\x9f\x9a\xa8\n@MoneyMakinMajix &amp; @Patroncorleone reppin @Pureblanco on the M\xe2\x80\xa6 https://t.co/8bIsgSNjMq',Golden xf0 x9f x8e x96 xef x8 x8fMoney xf0 x9f x92 x5 Team xf0 x9f xa4 x9d Presents n xf0 x9f x8e x5MUSIC TALK xf0 x9f x8e x5 xf0 x9f x9a xa8 ALERT xf0 x9f x9a xa8 n amp reppin on the M xe2 x80 xa6
2019-11-17T04:44:19.000Z,b'When #Bitcoin $BTC https://t.co/XOVv73Ee1B',When Bitcoin BTC
2019-11-17T04:45:02.000Z,"b'Last November, the #btc price halved from around $6,000 per bitcoin to just $3,000.\\n\\nWhile the year before November\\xe2\\x80\\xa6 https://t.co/C4New00vk4'",Last Novemer the tc price halved from around 6 000 per itcoin to just 3 000 n nWhile the year efore Novemer xe2 x80 xa6
