2019-11-17T12:56:32.000Z,b'Is this how #Bitcoin works? \n\n https://t.co/QSbFZmjH0S',Is this how Bitcoin works n n
2019-11-17T13:00:02.000Z,"b'Bitcoin: $8,570.89\\n +1.07% (+$90.89)\\nHigh: $8,585.12\\nLow: $8,372.71\\nVolume: 45\\n\\n$BTC #BTC #bitcoin'",Bitcoin 8 570 89 n 1 07 90 89 nHigh 8 585 12 nLow 8 372 71 nVolume 45 n n BTC BTC itcoin
2019-11-17T13:00:02.000Z,b'Super big chance in a billion! $BTC price: 8572.5 BTC/USD (2019/11/17 21:54:29) #bitcoin #btc #bch #xrp #eth #ltc\xe2\x80\xa6 https://t.co/L7fBnQDccd',Super ig chance in a illion BTC price 8572 5 BTC USD 2019 11 17 21 54 29 itcoin tc ch xrp eth ltc xe2 x80 xa6
2019-11-17T13:00:02.000Z,"b'11/17 22:00\\xe7\\x8f\\xbe\\xe5\\x9c\\xa8\\n\\n#Bitcoin : 932,610\\xe5\\x86\\x86\\xe2\\x86\\x91\\n#NEM #XEM : 4.61\\xe5\\x86\\x86\\xe2\\x86\\x91\\n#Monacoin : 115.8\\xe5\\x86\\x86\\xe2\\x86\\x91\\n#Ethereum : 20,200\\xe5\\x86\\x86\\xe2\\x86\\x91\\n#Zaif : 0.158\\xe5\\x86\\x86\\xe2\\x86\\x92'",11 17 22 00 xe7 x8f xe xe5 x9c xa8 n n Bitcoin 932 610 xe5 x86 x86 xe2 x86 x91 n NEM XEM 4 61 xe5 x86 x86 xe2 x86 x91 n Monacoin 115 8 xe5 x86 x86 xe2 x86 x91 n Ethereum 20 200 xe5 x86 x86 xe2 x86 x91 n Zaif 0 158 xe5 x86 x86 xe2 x86 x92
2019-11-17T13:00:02.000Z,"\"b\"\"The Bitcoin $BTC price is currently 8621.26 $USD or 7801.12 $EUR.\\nIt's the number #1 cryptocurrency on the Earth wi\\xe2\\x80\\xa6 https://t.co/siKqaWSAgp\"\"\"",The Bitcoin BTC price is currently 8621 26 USD or 7801 12 EUR nIt s the numer 1 cryptocurrency on the Earth wi xe2 x80 xa6
2019-11-17T13:00:02.000Z,b'\xf0\x9f\x93\x88 #Bitcoin (#BTC $BTC) global volume weighted average is currently $8558.402 | 0.99% change over 24hrs.  #crypto\xe2\x80\xa6 https://t.co/b758VodHJV',xf0 x9f x93 x88 Bitcoin BTC BTC gloal volume weighted average is currently 8558 402 0 99 change over 24hrs crypto xe2 x80 xa6
2019-11-17T13:00:02.000Z,b'MercadoBitcoin(BTC) =&gt; R$36300 | BlockChain(BTC) =&gt; R$35946 | MercadoBitcoin(LTC) =&gt; R$250 #bitcoin #litecoin',MercadoBitcoin BTC gt R 36300 BlockChain BTC gt R 35946 MercadoBitcoin LTC gt R 250 itcoin litecoin
2019-11-17T13:00:03.000Z,b'$BTC #Bitcoin Daily Support and Resistance targets: \nR3: 8639.03\nR2: 8603.67\nR1: 8581.83\nPP: 8546.47\nS1: 8511.12\nS2: 8489.28\nS3: 8453.92',BTC Bitcoin Daily Support and Resistance targets nR3 8639 03 nR2 8603 67 nR1 8581 83 nPP 8546 47 nS1 8511 12 nS2 8489 28 nS3 8453 92
2019-11-17T13:00:04.000Z,b'HC Mountfield vs HC Ocelari Trinec. #bitcoin #betting - https://t.co/Y3nqMUs22e',HC Mountfield vs HC Ocelari Trinec itcoin etting
2019-11-17T13:00:04.000Z,b'#Bitcoin (#BTC)\nUSD 8581.83\nEUR 7764.71\n\n#Litecoin (#LTC)\nUSD 59.76\nEUR 54.03\n\n#Ethereum (#ETH)\nUSD 185.66\nEUR 167.\xe2\x80\xa6 https://t.co/UkkBPfGJmp',Bitcoin BTC nUSD 8581 83 nEUR 7764 71 n n Litecoin LTC nUSD 59 76 nEUR 54 03 n n Ethereum ETH nUSD 185 66 nEUR 167 xe2 x80 xa6
2019-11-17T13:00:04.000Z,b'One Bitcoin now worth $8574.210. Market Cap $154.786 Billion. Based on #coindesk BPI #bitcoin',One Bitcoin now worth 8574 210 Market Cap 154 786 Billion Based on coindesk BPI itcoin
2019-11-17T13:00:04.000Z,b'One Bitcoin now worth $8562.34@bitstamp. High $8589.100. Low $8375.000. Market Cap $154.563 Billion #bitcoin https://t.co/AZXYWJ9LZ5',One Bitcoin now worth 8562 34 High 8589 100 Low 8375 000 Market Cap 154 563 Billion itcoin
2019-11-17T13:00:04.000Z,b'2019/11/17 22:00\n\nBTC 932873.5\xe5\x86\x86\nETH 20191.3\xe5\x86\x86\nETC 509.7\xe5\x86\x86\nBCH 29288.4\xe5\x86\x86\nXRP 28.8\xe5\x86\x86\nXEM 4.6\xe5\x86\x86\nLSK 86.2\xe5\x86\x86\nMONA 115.5\xe5\x86\x86\xe2\x80\xa6 https://t.co/Ehd9bIndpD',2019 11 17 22 00 n nBTC 932873 5 xe5 x86 x86 nETH 20191 3 xe5 x86 x86 nETC 509 7 xe5 x86 x86 nBCH 29288 4 xe5 x86 x86 nXRP 28 8 xe5 x86 x86 nXEM 4 6 xe5 x86 x86 nLSK 86 2 xe5 x86 x86 nMONA 115 5 xe5 x86 x86 xe2 x80 xa6
2019-11-17T13:00:04.000Z,"b'\\xe2\\x8f\\xb0 16:00\\n\\xe2\\x82\\xbf Bitcoin = 8.474,5763 $\\n#bitcoin #btc #BTCUSD'",xe2 x8f x0 16 00 n xe2 x82 xf Bitcoin 8 474 5763 n itcoin tc BTCUSD
