2019-11-17T10:43:44.000Z,b'#Bitcoin I lovee bitcoin. How about you?',Bitcoin I lovee itcoin How aout you
2019-11-17T10:47:31.000Z,"b'#Ether is the second-largest #cryptocurrency in terms of total #market capitalization. #Ethereum, the platform on w\\xe2\\x80\\xa6 https://t.co/2CTABkA6tE'",Ether is the second largest cryptocurrency in terms of total market capitalization Ethereum the platform on w xe2 x80 xa6
2019-11-17T10:47:53.000Z,b'\xf0\x9f\x94\x84 Prices update in $USD (1 hour):\n\n$BTC - 8526.3 $  (+0.02 %)\n$ETH - 183.46 $  (+0.07 %)\n$XRP - 0.26 $    (-0.03 %)\xe2\x80\xa6 https://t.co/NgQs0pVnRx',xf0 x9f x94 x84 Prices update in USD 1 hour n n BTC 8526 3 0 02 n ETH 183 46 0 07 n XRP 0 26 0 03 xe2 x80 xa6
2019-11-17T10:48:11.000Z,b'#DACX #IEO #cryptocurrency #blockchain #bitcoin https://t.co/5AjMELXjbl',DACX IEO cryptocurrency lockchain itcoin
2019-11-17T10:48:33.000Z,b'#DACX #IEO #cryptocurrency #blockchain #bitcoin https://t.co/qZtjq42laX',DACX IEO cryptocurrency lockchain itcoin
2019-11-17T10:49:00.000Z,b'@extstock @dcs_token @extstock and @dcs_token \nNice project \n#cryptocurrency #bitcoin \n@john_johnkats8 @ZeniOliveira8 @JanetJackson',and nNice project n cryptocurrency itcoin n
2019-11-17T10:49:00.000Z,b'LAST TRADE: SELL 0.00000003BTC@7724.7EUR\nSELL WALL: 30.032BTC@7770.7EUR\nBUY WALL: 59.24BTC@7500.0EUR\nSUM SHORTS: 39\xe2\x80\xa6 https://t.co/kK1fcWB3ql',LAST TRADE SELL 0 00000003BTC 7EUR nSELL WALL 30 032BTC 7EUR nBUY WALL 59 24BTC 0EUR nSUM SHORTS 39 xe2 x80 xa6
2019-11-17T10:49:40.000Z,b'#Bitcoin Futures  - \xd0\x9e\xd0\xb1\xd0\xb7\xd0\xbe\xd1\x80 \xd0\xb3\xd1\x80\xd0\xb0\xd1\x84\xd0\xb8\xd0\xba\xd0\xb0 #2019-11-17 https://t.co/MMxnXLBATn #btcusd',Bitcoin Futures xd0 x9e xd0 x1 xd0 x7 xd0 xe xd1 x80 xd0 x3 xd1 x80 xd0 x0 xd1 x84 xd0 x8 xd0 xa xd0 x0 2019 11 17 tcusd
2019-11-17T10:49:53.000Z,b'#MMFX weekly report +1489 #pips \n93% Accuracy\n\nCheck out telegram channel \nhttps://t.co/i0KJTBqWfG \n\n#forextrading\xe2\x80\xa6 https://t.co/9GeLFfTTKj',MMFX weekly report 1489 pips n93 Accuracy n nCheck out telegram channel nhttps n n forextrading xe2 x80 xa6
2019-11-17T10:50:03.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 13:50:02\\n#Bitcoin: $8,597.193\\n#Ethereum: $184.699\\n#XRP: $0.265\\xe2\\x80\\xa6 https://t.co/BXsIrEzPSr'",Top 5 cryptocurrencies n Alert Time 2019 11 17 13 50 02 n Bitcoin 8 597 193 n Ethereum 184 699 n XRP 0 265 xe2 x80 xa6
2019-11-17T10:51:03.000Z,b'#\xe4\xbd\x90\xe8\x97\xa4\xe3\x81\xb2\xe3\x81\xa7\xe3\x81\x82\xe3\x81\x8d \xe3\x81\x8c\xe8\x80\x83\xe3\x81\x88\xe3\x82\x8b #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\n\xe7\xb5\x90\xe8\xab\x96\xe3\x81\xa8\xe3\x81\x97\xe3\x81\xa6 #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 \xe3\x81\xaf\xe5\xae\x89\xe5\x85\xa8\xe3\x81\xaa\xe8\xb3\x87\xe7\x94\xa3\xe3\x81\xaa\xe3\x81\xae\xe2\x9d\x93\n\n\xe7\xb6\x9a\xe3\x81\x8d\xe3\x81\xaf\xe3\x81\x93\xe3\x81\xa1\xe3\x82\x89\xe2\xac\x87\xef\xb8\x8e\n\xe3\x80\x8ehttps://t.co/TPupkjYnTj\xe3\x80\x8f\n\n#\xe6\x9a\x97\xe5\x8f\xb7\xe8\xb3\x87\xe7\x94\xa3 #BTC #bitcoin #\xe8\xa7\xa3\xe8\xaa\xac #\xe8\xb3\x87\xe7\x94\xa3\xe2\x80\xa6 https://t.co/IzHkIAbTD0',xe4 xd x90 xe8 x97 xa4 xe3 x81 x2 xe3 x81 xa7 xe3 x81 x82 xe3 x81 x8d xe3 x81 x8c xe8 x80 x83 xe3 x81 x88 xe3 x82 x8 xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 n xe7 x5 x90 xe8 xa x96 xe3 x81 xa8 xe3 x81 x97 xe3 x81 xa6 xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe3 x81 xaf xe5 xae x89 xe5 x85 xa8 xe3 x81 xaa xe8 x3 x87 xe7 x94 xa3 xe3 x81 xaa xe3 x81 xae xe2 x9d x93 n n xe7 x6 x9a xe3 x81 x8d xe3 x81 xaf xe3 x81 x93 xe3 x81 xa1 xe3 x82 x89 xe2 xac x87 xef x8 x8e n xe3 x80 x8ehttps BTC itcoin xe8 xa7 xa3 xe8 xaa xac xe8 x3 x87 xe7 x94 xa3 xe2 x80 xa6
2019-11-17T10:51:05.000Z,b'Quoi de neuf cette semaine dans la cryptosph\xc3\xa8re ? @RenaudHeitz vous dit tout dans son #HebdoCrypto \xf0\x9f\x91\x87\nAu menu :\n\xe2\x9e\xa1\xef\xb8\x8f A\xe2\x80\xa6 https://t.co/xGDwtXwVHz',Quoi de neuf cette semaine dans la cryptosph xc3 xa8re vous dit tout dans son HedoCrypto xf0 x9f x91 x87 nAu menu n xe2 x9e xa1 xef x8 x8f A xe2 x80 xa6
2019-11-17T10:51:08.000Z,b'Serbest #Piyasa\n\nTarih: 16.11.2019 23:59:58\nDolar: \xe2\x82\xba5.7449\nEuro: \xe2\x82\xba6.3531\n24 Ayar Gram: \xe2\x82\xba270.97\n22 Ayar Gram: \xe2\x82\xba247.1\xe2\x80\xa6 https://t.co/sjyhikbpax',Serest Piyasa n nTarih 16 11 2019 23 59 58 nDolar xe2 x82 xa5 7449 nEuro xe2 x82 xa6 3531 n24 Ayar Gram xe2 x82 xa270 97 n22 Ayar Gram xe2 x82 xa247 1 xe2 x80 xa6
2019-11-17T10:51:29.000Z,"b'1 Bitcoin ( #BTC )\\nDollar: 8530.92$ \\n\\n1 Bitcoin Cash ( #BCH )\\nDollar: 2,65.97$ \\n\\n1 Ethereum ( #ETH )\\nDollar: 183.40\\xe2\\x80\\xa6 https://t.co/XuOedp2lZP'",1 Bitcoin BTC nDollar 8530 92 n n1 Bitcoin Cash BCH nDollar 2 65 97 n n1 Ethereum ETH nDollar 183 40 xe2 x80 xa6
2019-11-17T10:51:42.000Z,b'#EMJ #IEO #Crypto #Blockchain #ethereum #bitcoin #ether #cryptocurrency #tokensale https://t.co/QVtPzeIAsm https://t.co/VFpyIR3cZv',EMJ IEO Crypto Blockchain ethereum itcoin ether cryptocurrency tokensale
2019-11-17T10:51:45.000Z,b'Altcoins Prepare to Rally in the Shadow of Bitcoin\xe2\x80\x99s Recent 42% Gain\n\n#bitcoin #entrepreneur #eth https://t.co/NAAgTmELWd',Altcoins Prepare to Rally in the Shadow of Bitcoin xe2 x80 x99s Recent 42 Gain n n itcoin entrepreneur eth
2019-11-17T10:52:01.000Z,"b'$BTC current price is 927509.0 JPY. Our AI forecasts the rise of Bitcoin price after one hour. And, the current acc\\xe2\\x80\\xa6 https://t.co/PFiEkeWtYH'",BTC current price is 927509 0 JPY Our AI forecasts the rise of Bitcoin price after one hour And the current acc xe2 x80 xa6
2019-11-17T10:52:01.000Z,b'Watch videos to earn bitcoin  \n\nFind Out More:  https://t.co/XUJfhkZ3bB\n\n #Buy #Sell #Trade #Watch #Videos #Earn #Bitcoin',Watch videos to earn itcoin n nFind Out More Buy Sell Trade Watch Videos Earn Bitcoin
2019-11-17T10:52:02.000Z,"b'$BTC current price is 927775.0 JPY. Our AI forecasts the rise of Bitcoin price after one hour. And, the current acc\\xe2\\x80\\xa6 https://t.co/lT5YXiTSow'",BTC current price is 927775 0 JPY Our AI forecasts the rise of Bitcoin price after one hour And the current acc xe2 x80 xa6
2019-11-17T10:52:09.000Z,b'Earn Free Bitcoins from @bitcoinsforme https://t.co/nQJ1vpS3Xf #bitcoin #stackingsats #BTC',Earn Free Bitcoins from itcoin stackingsats BTC
