2019-11-17T11:46:13.000Z,"b'Bitcoin Fiyat Analizi: BTC, Gelecek Haftada B\\xc3\\xbcy\\xc3\\xbck Bir Hareket Bekliyor https://t.co/feOPEyTHb1 @G\\xc3\\xbcncel Bitcoin, Alt\\xe2\\x80\\xa6 https://t.co/V3Lg0EZ1eU'",Bitcoin Fiyat Analizi BTC Gelecek Haftada B xc3 xcy xc3 xck Bir Hareket Bekliyor xc3 xcncel Bitcoin Alt xe2 x80 xa6
2019-11-17T11:46:15.000Z,b'\xe2\x80\x98Extremely Dangerous\xe2\x80\x99 \xe2\x80\x94 Bobby Lee Regrets Backing Bitcoin SegWit2x #bitcoin https://t.co/RNuOc5c8xM',xe2 x80 x98Extremely Dangerous xe2 x80 x99 xe2 x80 x94 Boy Lee Regrets Backing Bitcoin SegWit2x itcoin
2019-11-17T11:46:35.000Z,b'\xf0\x9f\x94\x84 Prices update in $USD (1 hour):\n\n$BTC   - 8537.1 $    (+0.08 %)\n$ETH   - 184.9 $     (+0.78 %)\n$XRP   - 0.26 $\xe2\x80\xa6 https://t.co/wlVW3wW7aH',xf0 x9f x94 x84 Prices update in USD 1 hour n n BTC 8537 1 0 08 n ETH 184 9 0 78 n XRP 0 26 xe2 x80 xa6
2019-11-17T11:46:35.000Z,b'\xf0\x9f\x94\x84 Prices update in $USDT (1 hour):\n\n$BTC - 8537.31 $       (+0.02 %)\n$ETH - 184.69 $        (+0.65 %)\n$XRP - 0.26 $\xe2\x80\xa6 https://t.co/2qjOvmZs0e',xf0 x9f x94 x84 Prices update in USDT 1 hour n n BTC 8537 31 0 02 n ETH 184 69 0 65 n XRP 0 26 xe2 x80 xa6
2019-11-17T11:46:36.000Z,b'\xf0\x9f\x94\x84 Prices update in $EUR (1 hour):\n\n$BTC   - 7729.5 \xe2\x82\xac  (-0.03 %)\n$ETH   - 167.47 \xe2\x82\xac  (+0.68 %)\n$XRP   - 0.24 \xe2\x82\xac    (+0\xe2\x80\xa6 https://t.co/rgPjTYCP1x',xf0 x9f x94 x84 Prices update in EUR 1 hour n n BTC 7729 5 xe2 x82 xac 0 03 n ETH 167 47 xe2 x82 xac 0 68 n XRP 0 24 xe2 x82 xac 0 xe2 x80 xa6
2019-11-17T11:46:48.000Z,b'\xf0\x9f\x94\x84 Prices update in $USDT (1 hour):\n\n$BTC - 8531.47 $ (+0.07 %)\n$ETH - 184.75 $  (+0.65 %)\n$XRP - 0.26 $    (+0.3 %)\xe2\x80\xa6 https://t.co/faqlgVXRKy',xf0 x9f x94 x84 Prices update in USDT 1 hour n n BTC 8531 47 0 07 n ETH 184 75 0 65 n XRP 0 26 0 3 xe2 x80 xa6
2019-11-17T11:47:15.000Z,b'Listen to junkie. its starting $btc #bitcoin https://t.co/SC4fzodSCm',Listen to junkie its starting tc itcoin
2019-11-17T11:47:39.000Z,"\"b\"\"This investment is killing my crypto portfolio.\\n\\nPAK: +30%\\n\\nCrypto: don't ask.\\n\\nHURRY UP #BITCOIN https://t.co/Rnudvq1w44\"\"\"",This investment is killing my crypto portfolio n nPAK 30 n nCrypto don t ask n nHURRY UP BITCOIN
2019-11-17T11:47:50.000Z,b'\xf0\x9f\x93\x88 Binance Trading Bot Sell Signal\nPair: POWRBTC\nEntry Price: \xe0\xb8\xbf0.00000543\nProfit Target Hit: \xe0\xb8\xbf0.00000561\n\nCheck out\xe2\x80\xa6 https://t.co/BUv684kp36',xf0 x9f x93 x88 Binance Trading Bot Sell Signal nPair POWRBTC nEntry Price xe0 x8 xf0 00000543 nProfit Target Hit xe0 x8 xf0 00000561 n nCheck out xe2 x80 xa6
2019-11-17T11:47:54.000Z,"b'$BTC still above the wedge, i am expecting a move to the upside at least to take out 8660-8700 before any correctio\\xe2\\x80\\xa6 https://t.co/RWhCVASEMF'",BTC still aove the wedge i am expecting a move to the upside at least to take out 8660 8700 efore any correctio xe2 x80 xa6
2019-11-17T11:48:03.000Z,"b'Perhaps @Google Will Kill #Bitcoin, After All \\xf0\\x9f\\x92\\x80 via @ForbesCrypto https://t.co/VFNaHhWwru'",Perhaps Will Kill Bitcoin After All xf0 x9f x92 x80 via
2019-11-17T11:48:05.000Z,b'\xf0\x9f\x94\x84 Prices update in $USD (1 hour):\n\n$BTC - 8537.1 $ (+0.13 %)\n$ETH - 184.9 $  (+0.78 %)\n$XRP - 0.26 $   (+0.3 %)\xe2\x80\xa6 https://t.co/Pb3XkMy6lK',xf0 x9f x94 x84 Prices update in USD 1 hour n n BTC 8537 1 0 13 n ETH 184 9 0 78 n XRP 0 26 0 3 xe2 x80 xa6
