2019-11-17T19:30:10.000Z,"b'Nov 17, 2019 19:29:00 UTC | 8,554.30$ | 7,740.50\\xe2\\x82\\xac | 6,627.30\\xc2\\xa3 | #Bitcoin #BTC $BTC #crypto #financial #news https://t.co/jv0pjk9p1Z'",Nov 17 2019 19 29 00 UTC 8 554 30 7 740 50 xe2 x82 xac 6 627 30 xc2 xa3 Bitcoin BTC BTC crypto financial news
2019-11-17T19:30:13.000Z,"b'Bull Run Intact: Long-Term ##Bitcoin Price Indicator Remains Long: As you likely know, Bitcoin (BTC\\xe2\\x80\\xa6 https://t.co/1Mz84x3NOj #Blockchain'",Bull Run Intact Long Term Bitcoin Price Indicator Remains Long As you likely know Bitcoin BTC xe2 x80 xa6 Blockchain
2019-11-17T19:30:13.000Z,b'Need adult advertisement space and adult traffic? Try our self serve advertising https://t.co/wa8ndmPac7 (world wid\xe2\x80\xa6 https://t.co/yRYCee5HSz',Need adult advertisement space and adult traffic Try our self serve advertising world wid xe2 x80 xa6
2019-11-17T19:30:14.000Z,b'Just a few days until the #KansasCity #Bitcoin &amp; #Cryptocurrency meetup. Be there! https://t.co/D5UgrHRlir',Just a few days until the KansasCity Bitcoin amp Cryptocurrency meetup Be there
2019-11-17T19:30:15.000Z,b'Discoin Airdrop is now Live\xf0\x9f\x9a\x80\xf0\x9f\x92\xb0\xf0\x9f\x8f\x86\n\nClick on below link to participate into this amazing #Airdrop\xf0\x9f\x8e\x81\n\n\xf0\x9f\x8e\x81 Rewards: 400 + 10\xe2\x80\xa6 https://t.co/uNhf3yrhp9',Discoin Airdrop is now Live xf0 x9f x9a x80 xf0 x9f x92 x0 xf0 x9f x8f x86 n nClick on elow link to participate into this amazing Airdrop xf0 x9f x8e x81 n n xf0 x9f x8e x81 Rewards 400 10 xe2 x80 xa6
2019-11-17T19:30:15.000Z,"b'Hello humans, as of Sun Nov 17 13:30:14 CST 2019, current #cryptocoin prices:\\n#bitcoin is $8628.6379\\n#dash is $68.5\\xe2\\x80\\xa6 https://t.co/FYUGEjOgQ2'",Hello humans as of Sun Nov 17 13 30 14 CST 2019 current cryptocoin prices n itcoin is 8628 6379 n dash is 68 5 xe2 x80 xa6
2019-11-17T19:30:18.000Z,"b'Buy Bitcoin With PayPal! Also with CC, paysafecard, Skrill, OKPAY https://t.co/Qdq3dxXr95 #btc #bitcoin 14 https://t.co/ZtJPxyZuXZ'",Buy Bitcoin With PayPal Also with CC paysafecard Skrill OKPAY tc itcoin 14
2019-11-17T19:30:21.000Z,"\"b'Share this with the \"\"it can\\'t possibly scale\"\" \"\"experts\"\"... https://t.co/gykVY7q789 #Bitcoin #memes #Crypto\\xe2\\x80\\xa6 https://t.co/Z7qZ7Bcbst'\"",Share this with the it can t possily scale experts Bitcoin memes Crypto xe2 x80 xa6
2019-11-17T19:30:25.000Z,"b'Balancing a diversified #crypto portfolio is not so easy, you need a smart tool! https://t.co/gykVY7q789 #Bitcoin\\xe2\\x80\\xa6 https://t.co/a7XlnQ1UOK'",Balancing a diversified crypto portfolio is not so easy you need a smart tool Bitcoin xe2 x80 xa6
2019-11-17T19:30:31.000Z,"b'El precio del Bitcoin: 7,746.26\\xe2\\x82\\xac #bitcoin #elpreciodelbtc #criptomonedas'",El precio del Bitcoin 7 746 26 xe2 x82 xac itcoin elpreciodeltc criptomonedas
2019-11-17T19:30:35.000Z,b'#btg #bitcoingold #bitcoin\n\nGZVJHuSJipqMkfS98XZsxgsMigME3Rb8eH https://t.co/KmmS2myVrm',tg itcoingold itcoin n nGZVJHuSJipqMkfS98XZsxgsMigME3R8eH
2019-11-17T19:30:39.000Z,b'Watch videos to earn bitcoin  \n\nCheck It Out: https://t.co/XUJfhkZ3bB\n\n #MyOwnBoss #Watch #Videos #Earn #Bitcoin',Watch videos to earn itcoin n nCheck It Out MyOwnBoss Watch Videos Earn Bitcoin
