2019-11-17T01:14:21.000Z,b'@BinanceAmerica @binance #Bitcoin',Bitcoin
2019-11-17T01:21:14.000Z,b'Eating moose and stacking sats  #bitcoin https://t.co/hbahHDOnMr',Eating moose and stacking sats itcoin
2019-11-17T01:21:17.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T01:21:40.000Z,"b'Happy to finally announce a wallet we can all trust with our #cryptocurrency\\n#HODL your #Bitcoin, #ethereum\\xe2\\x80\\xa6 https://t.co/hhiyCbHGPi'",Happy to finally announce a wallet we can all trust with our cryptocurrency n HODL your Bitcoin ethereum xe2 x80 xa6
2019-11-17T01:21:41.000Z,"b'#bitcoin - CAN I MAKE $6,500 IN 6 MONTHS? for BITFINEX:BTCUSD by Devalysis https://t.co/cyDwbYMCsA https://t.co/r6OPmL8G98'",itcoin CAN I MAKE 6 500 IN 6 MONTHS for BITFINEX BTCUSD y Devalysis
2019-11-17T01:21:45.000Z,"\"b\"\"There's no end in sight! #ERROR! $ETH gained approximately #ERROR! recently! The USD converted price is now #ERROR!\\xe2\\x80\\xa6 https://t.co/cKVgjoIrYk\"\"\"",There s no end in sight ERROR ETH gained approximately ERROR recently The USD converted price is now ERROR xe2 x80 xa6
2019-11-17T01:21:54.000Z,b'IOTA\xe2\x80\x99s Struggle Continues for Another Day; Loses 2.12% Overnight\n#Bitcoin #Crypto #Cryptocurrency #October1st\xe2\x80\xa6 https://t.co/xJDYXUdaIE',IOTA xe2 x80 x99s Struggle Continues for Another Day Loses 2 12 Overnight n Bitcoin Crypto Cryptocurrency Octoer1st xe2 x80 xa6
2019-11-17T01:21:56.000Z,"b'work, earn money and become a millionaire from home...... inbox me and I will make you millionaire with little inve\\xe2\\x80\\xa6 https://t.co/xdTLErPbCU'",work earn money and ecome a millionaire from home inox me and I will make you millionaire with little inve xe2 x80 xa6
2019-11-17T01:22:07.000Z,"b'El precio del #BTC: 8,510 USD // 7,700 EUR // 163,236 MXN // 4,941,379 CRC // 506,329 ARS // 29,341,192 COP #bitcoin #criptomonedas'",El precio del BTC 8 510 USD 7 700 EUR 163 236 MXN 4 941 379 CRC 506 329 ARS 29 341 192 COP itcoin criptomonedas
2019-11-17T01:22:16.000Z,b'Send a dm today #Crypto #CryptoNews #cryptotrading #cryptocurrencies #cryptotwitter #btc #bitcoin #bitcoins\xe2\x80\xa6 https://t.co/RuZwh1tp35',Send a dm today Crypto CryptoNews cryptotrading cryptocurrencies cryptotwitter tc itcoin itcoins xe2 x80 xa6
2019-11-17T01:22:28.000Z,"b'#Opini\\xc3\\xb3n Las #tecnolog\\xc3\\xadas no cambian al hombre \\xe2\\x80\\x94o al menos no lo hacen por arte de magia\\xe2\\x80\\x94, sino m\\xc3\\xa1s bien son aquell\\xe2\\x80\\xa6 https://t.co/CMAUakD4V0'",Opini xc3 x3n Las tecnolog xc3 xadas no camian al homre xe2 x80 x94o al menos no lo hacen por arte de magia xe2 x80 x94 sino m xc3 xa1s ien son aquell xe2 x80 xa6
